Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
site-first-aid-kit,"Site first-aid kit (Code of Practice, QR-registered)","<p>Workplace first-aid kit with contents aligned to the example list in the Safe Work Australia model Code of Practice: First aid in the workplace, for a low-risk workplace of up to about 25 people. Supplied by a TGA-listed Australian manufacturer. Arrives with a QR label and a full contents register; used something, scan it and the refill ships the same business day when on a replenishment plan.</p>",BRAND,Health & Beauty > Health Care > First Aid,First-aid kit,"kit, site, first aid",TRUE,Title,Default Title,KIT-SITE-01,1800,shopify,50,deny,manual,119.00,TRUE,TRUE,active
vehicle-first-aid-kit,"Vehicle first-aid kit (QR-registered)","<p>Compact first-aid kit for utes, vans and cars used for work. Fits a glovebox or centre console. Supplied by a TGA-listed Australian manufacturer, with a QR label and contents register.</p>",BRAND,Health & Beauty > Health Care > First Aid,First-aid kit,"kit, vehicle, first aid",TRUE,Title,Default Title,KIT-VEH-01,700,shopify,50,deny,manual,59.00,TRUE,TRUE,active
plan-site-kit-annual,"Replenishment plan, site kit (annual)","<p>Per site kit, per year. Two scheduled refill packs, after-use refills on a QR scan, expiry tracking, audit log and an annual compliance certificate. Cancel any time; the kit is yours.</p>",BRAND,Services,Plan,"plan, annual",TRUE,Title,Default Title,PLAN-SITE-A,0,,,,manual,144.00,FALSE,TRUE,active
plan-vehicle-kit-annual,"Replenishment plan, vehicle kit (annual)","<p>Per vehicle kit, per year. Two scheduled refill packs, after-use refills on a QR scan, expiry tracking, audit log and an annual compliance certificate.</p>",BRAND,Services,Plan,"plan, annual",TRUE,Title,Default Title,PLAN-VEH-A,0,,,,manual,84.00,FALSE,TRUE,active
plan-site-kit-monthly,"Replenishment plan, site kit (monthly)","<p>Per site kit, per month. Same inclusions as the annual plan, billed monthly.</p>",BRAND,Services,Plan,"plan, monthly",TRUE,Title,Default Title,PLAN-SITE-M,0,,,,manual,14.00,FALSE,TRUE,active
plan-vehicle-kit-monthly,"Replenishment plan, vehicle kit (monthly)","<p>Per vehicle kit, per month. Same inclusions as the annual plan, billed monthly.</p>",BRAND,Services,Plan,"plan, monthly",TRUE,Title,Default Title,PLAN-VEH-M,0,,,,manual,8.00,FALSE,TRUE,active
ppe-sun-pack-monthly,"PPE and sun pack (monthly)","<p>For outdoor trades: nitrile gloves, TGA-listed SPF 50+ sunscreen, earplugs and eyewash, shipped monthly with your kit refills.</p>",BRAND,Services,Consumables,"ppe, monthly",TRUE,Title,Default Title,PPE-M,900,,,,manual,22.00,TRUE,TRUE,active
burns-module,"Burns module","<p>Hydrogel burn dressings, burn gel and clingfilm, added to a site or vehicle kit. For kitchens, workshops and welding.</p>",BRAND,Health & Beauty > Health Care > First Aid,Module,"module",TRUE,Title,Default Title,MOD-BURN,250,shopify,30,deny,manual,29.00,TRUE,TRUE,active
eye-module,"Eye module","<p>Additional saline, sterile eye pads and a 500 ml eyewash bottle for workshops and sites with dust, grinding or chemicals.</p>",BRAND,Health & Beauty > Health Care > First Aid,Module,"module",TRUE,Title,Default Title,MOD-EYE,700,shopify,30,deny,manual,34.00,TRUE,TRUE,active
remote-module,"Remote module","<p>Snake-bite indicator bandages, splint, tourniquet and heavy dressings for regional and remote work.</p>",BRAND,Health & Beauty > Health Care > First Aid,Module,"module",TRUE,Title,Default Title,MOD-REMOTE,600,shopify,30,deny,manual,49.00,TRUE,TRUE,active
